Performance Detail Submission: ID,Company/Institution Name,Submission Title,Country of Manufacturer,Regulatory Approval,Clinical Sensitivity (%),95% CI for Clinical Sensitivity (Lower),95% CI for Clinical Sensitivity (Upper),Clinical Specificity (%),95% CI for Clinical Specificity (Lower),95% CI for Clinical Specificity (Upper),Assay Target,Target Analyte(s),Self-testing/Self-Collection,Validated Sample Types,Time to results excl sample prep (mins),submission_id
a266900000A9wEV,TaiDoc Technology Corporation,FORA DIAGNOSTICS COVID-19 Antigen Rapid test,"Taiwan, Republic of China",CE-IVD,94.20%,87.90%,97.30%,99.60%,97.90%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wEV
a266900000A9wEX,TaiDoc Technology Corporation,VTRUST COVID-19 Antigen Rapid test,"Taiwan, Republic of China",CE-IVD,93.10%,83.00%,97.20%,99.60%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wEX
a266900000A9wDt,TaiDoc Technology Corporation,FORA COVID-19 Antigen Rapid test,"Taiwan, Republic of China",CE-IVD; Taiwan FDA,94.20%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDt
a266900000AuhlI,TaiDoc Technology Corporation,URIGHT COVID-19 Antigen Rapid Test,"Taiwan, Republic of China",WHO EUL Under Assessment,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,-,NA,a266900000AuhlI
a266900000B2eNN,TAUNS Laboratories Co.,ImunoAce SARS-CoV-2 II,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B2eNN
a266900000B2eNX,TAUNS Laboratories Co.,Capilia SARS-CoV-2,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B2eNX
a266900000B2lnD,TAUNS Laboratories Co.,Capilia SARS-CoV-2 II,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B2lnD
a266900000A9wDu,TECNO-BIOS SRL,FAST-COVID-SARS-CoV-2 Antigen Rapid Test Kit (Colloidal Gold),Italy,CE-IVD,0.00%,-,-,0.00%,-,-,Antigen,Other,Intended for professional use only,Other,0,a266900000A9wDu
a266900000A9w8U,Tody Laboratories Int.,Coronavirus (SARS-CoV 2) Antigen - Swab Specimen,Romania,CE-IVD,96.40%,89.80%,99.20%,99.00%,96.30%,99.90%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w8U
a266900000A9w8V,Tody Laboratories Int.,Coronavirus (SARS-CoV 2) Antigen - Oral Fluid,Romania,CE-IVD,90.10%,82.50%,95.10%,99.30%,97.70%,99.90%,Antigen,N-protein,Intended for professional use only,Sputum,15,a266900000A9w8V
a266900000B2leC,TOKYO BOEKI MEDISYS INC.,AFIAS COVID-19 Ag Test Cartridge,Japan,Japan MHLW; Korea MFDS,87.50%,-,-,96.50%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,NA,a266900000B2leC
a266900000B2cGU,Toyobo,ImmunoArrow SARS-CoV-2,Japan,Japan MHLW,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B2cGU
a266900000A9wKB,"Triplex International Biosciences (China) Co., LTD.",Covid-19 Antigen Rapid Test Kit,China,CE-IVD,98.33%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Saliva,10,a266900000A9wKB
a266900000A9wAY,Tulip Diagnostics (P) Ltd,"PERKINELMER COVID-19 ANTIGEN TEST (NS, NP) CASSETTE TEST",India,CE-IVD; India CDSCO,97.40%,38.50%,41.50%,100.00%,38.50%,41.50%,Antigen,N-protein,Intended for professional use only,Nasal swab,30,a266900000A9wAY
a266900000A9w6y,Tulip Diagnostics (P) Ltd,CoviRAT,India,WHO EUL Under Assessment,96.30%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9w6y
a266900000A9w6z,Tulip Diagnostics (P) Ltd,"PERKINELMER COVID-19 ANTIGEN TEST (NS, NP)",India,CE-IVD; India CDSCO; WHO EUL Under Assessment,96.30%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w6z
a266900000A9wEE,Turklab,COVID-19 Ag test,Turkey,CE-IVD,92.50%,-,-,99.16%,-,-,Antigen,N-protein,Intended for professional use only,Nasal swab,20,a266900000A9wEE
a266900000A9w67,UD Shenzhen Ltd,Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) Antigen Test Kit(Co,China,CE-IVD,95.00%,-,-,99.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,10,a266900000A9w67
a266900000B2ldx,UNIBIOSCIENCE BIYOTEKNOLOJI AS,UnibioscienceÂ® COVID-19 Ag Home Test,Turkey,CE-IVD,97.44%,95.40%,98.72%,99.30%,98.68%,99.68%,Antigen,N-protein,Intended for self-testing (version available),Saliva,NA,a266900000B2ldx
a266900000B2ldy,UNIBIOSCIENCE BIYOTEKNOLOJI AS,UnibioscienceÂ® SARS-CoV-2 NASAL ANTIGEN RAPID TEST,Turkey,CE-IVD,97.44%,95.40%,98.72%,99.30%,98.68%,99.68%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000B2ldy
a266900000A9w9B,Van Oostveen Medical B.V. - Romed Holland,Coronavirus Ag Rapid Test Cassette (Swab),Netherlands,CE-IVD,97.81%,94.90%,99.28%,99.66%,99.00%,99.93%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000A9w9B
a266900000A9wI0,Vax-Immune Diagnostics,SARS-CoV-2 Rapid Ag Test,United States,Unknown,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Unknown,NA,a266900000A9wI0
a266900000AiY1g,"Victorch MediTek, Inc.",VTI COVID-19 Antigen Rapid Test,United States,CE-IVD,98.00%,-,-,100.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000AiY1g
a266900000A9wFG,VITASSAY HEALTHCARE S.L.,Vitassay SARS-CoV-2 + Flu A + Flu B + RSV + Adeno Resp.,Spain,CE-IVD,92.90%,-,-,99.60%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wFG
a266900000A9wA4,VITASSAY HEALTHCARE S.L.,Vitassay SARS-CoV-2,Spain,CE-IVD,92.90%,70.80%,98.90%,99.80%,98.60%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,10,a266900000A9wA4
a266900000AAj1S,VitroBioChem SRL,Vitrotrack COVID -19 ANTIGEN RAPID TEST (swab),Romania,CE-IVD,96.40%,-,-,99.00%,-,-,Antigen,Other,Intended for professional use only,Nasopharyngeal swab,15,a266900000AAj1S
a266900000A9w5K,"Vitrosens Biotechnology Co., Ltd.",Rapid For SARS-CoV-2 Rapid Antigen Test,Turkey,CE-IVD; Germany BfArM,97.30%,95.70%,98.42%,99.00%,97.79%,99.69%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w5K
a266900000A9wJP,"VivaChek Biotech (Hangzhou) Co., Ltd",VivaDiag SARS-CoV-2 Ag Rapid Test,China,Australia TGA; CE-IVD,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,NA,a266900000A9wJP
a266900000A9w7s,"VivaChek Biotech (Hangzhou) Co., Ltd",VivaDiag Pro SARS-CoV-2 Ag Rapid Test,China,CE-IVD; WHO EUL Under Assessment,97.06%,91.71%,98.99%,100.00%,99.12%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w7s
a266900000B2le0,"VivaChek Biotech (Hangzhou) Co., Ltd",VivaDiag Pro SARS CoV 2 Ag Rapid Test (self test),China,CE-IVD,99.13%,95.24%,99.85%,99.99%,99.17%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,NA,a266900000B2le0
a266900000A9w8x,WAMA Diagnostica,IMUNO-RÁPIDO COVID-19 Ag,Brazil,Brazil ANVISA; WHO EUL Under Assessment,87.90%,80.70%,92.67%,100.00%,95.25%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,20,a266900000A9w8x
a266900000B3Dsm,"Wells Bio, Inc.",careUS COVID-19 antigen,"Korea, Republic of",Korea MFDS,87.10%,73.29%,94.40%,100.00%,93.24%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab,15,a266900000B3Dsm
a266900000A9wDv,Willi Fox GmbH,Willi Fox COVID-19 Antigen rapid test,Italy,CE-IVD,97.60%,93.10%,99.20%,99.90%,97.70%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wDv
a266900000B3DyQ,"WON Medical Co.,",WonMed Covid-19 Ag,"Korea, Republic of",Korea MFDS,-,-,-,-,-,-,Antigen,N-protein,Intended for professional use only,Unknown,NA,a266900000B3DyQ
a266900000A9wG6,"Wuhan HealthCare Biotechnology Co., Ltd.",SARS-CoV-2 Antigen Test Kit (Colloidal Gold),China,CE-IVD,95.00%,-,-,97.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Nasal swab; Saliva,15,a266900000A9wG6
a266900000A9w6O,"Wuhan HealthCare Biotechnology Co., Ltd.",COVID-19 (SARS-CoV-2) Antigen Test Kit,China,CE-IVD,96.15%,91.30%,98.35%,99.26%,97.84%,99.75%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9w6O
a266900000A9wAn,"Wuhan UNscience Biotechnology Co., Ltd.",SARS-CoV-2 Antigen Rapid Test Kit,China,CE-IVD; Germany BfArM,96.33%,90.87%,98.99%,100.00%,97.62%,99.99%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,10,a266900000A9wAn
a266900000A9w7w,"Xiamen AmonMed Biotechnology Co., Ltd.",COVID-19 Antigen rapid test (Colloidal Gold) ---Nasal / Orapharyngeal /Saliva,China,CE-IVD; Germany BfArM,93.00%,86.30%,96.60%,97.73%,94.79%,99.03%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Saliva,20,a266900000A9w7w
a266900000A9w5V,"Xiamen Boson Biotech Co., Ltd.",Rapid SARS-CoV-2 Antigen Test Card,China,Health Canada; CE-IVD; Germany BfArM; WHO EUL Under Assessment,96.17%,94.04%,98.29%,99.16%,98.49%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9w5V
a266900000B3lrk,"Xiamen Boson Biotech Co., Ltd.",Rapid SARS-CoV-2 Antigen Test Card (self test),China,CE-IVD,96.17%,94.04%,98.29%,99.16%,98.49%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000B3lrk
a266900000B21eL,"XIAMEN WIZ BIOTECH CO., LTD",SARS-CoV-2 Antigen Rapid Test (Colloidal Gold); Self-Test,China,CE-IVD,98.26%,93.86%,99.79%,100.00%,99.19%,100.00%,Antigen,N-protein,Intended for self-testing (version available),Nasal swab,15,a266900000B21eL
a266900000A9wAw,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2 Antigen Rapid Test (Sputum/Saliva/Stool),China,CE-IVD,96.67%,94.50%,98.01%,100.00%,99.35%,100.00%,Antigen,N-protein,Intended for professional use only,Sputum; Saliva; Feces,15,a266900000A9wAw
a266900000A9wB0,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2 Antigen Test,China,CE-IVD,96.30%,89.67%,98.73%,100.00%,98.53%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wB0
a266900000A9wAS,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2/Influenza A/Influenza B Antigen Rapid Test,China,CE-IVD,96.30%,89.67%,98.73%,99.77%,99.33%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wAS
a266900000A9wAk,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2 Antigen Rapid Test,China,CE-IVD,96.30%,89.67%,98.73%,100.00%,98.53%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9wAk
a266900000A9wAp,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2 Antigen Rapid Test (Saliva),China,CE-IVD,95.35%,92.58%,97.12%,100.00%,99.31%,100.00%,Antigen,N-protein,Intended for professional use only,Saliva,15,a266900000A9wAp
a266900000A9wAq,"Xiamen Wiz Biotech Co., Ltd.",SARS-CoV-2 Antigen Rapid Test (Colloidal Gold),China,CE-IVD,95.91%,93.25%,97.55%,100.00%,99.26%,100.00%,Antigen,N-protein,Intended for professional use only,Nasal swab,15,a266900000A9wAq
a266900000AuhmK,Xtrava Inc,SPERA COVID-19 Ag Test,United States,US FDA EUA,91.80%,80.40%,97.70%,96.90%,94.20%,98.60%,Antigen,N-protein,Intended for professional use only,Nasal swab,NA,a266900000AuhmK
a266900000A9wDw,Z BIOTECH INC.,AnyLab COVID-19 Ag Test Kit,"Korea, Republic of",Korea MFDS; CE-IVD,91.00%,-,-,97.00%,-,-,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab,15,a266900000A9wDw
a266900000A9wJO,"Zhejiang Anji Saianfu Biotech Co., Ltd.",reOpenTest COVID-19 Antigen Rapid Test,China,Singapore HSA; CE-IVD; Other,-,-,-,-,-,-,Antigen,Unknown,Intended for self-testing (version available),Oropharyngeal swab; Nasal swab,NA,a266900000A9wJO
a266900000A9wET,"Zhejiang GENE SCIENCE Co., Ltd",Novel Coronavirus (COVID-19) Antigen Detection Kit (Latex Immunochromatography),China,CE-IVD,94.58%,90.51%,97.26%,98.73%,96.33%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,15,a266900000A9wET
a266900000A9wHU,"Zhuhai Encode Medical Engineering Co.,Ltd",SARS-COV-2 Antigen Rapid Test Device,China,CE-IVD,96.49%,92.62%,98.27%,100.00%,99.87%,100.00%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab; Mid-turbinate swab,20,a266900000A9wHU
a266900000A9wEr,"Zhuhai Lituo Biotechnology Co., Ltd",COVID-19 Antigen Detection Kit,China,Unknown,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab,NA,a266900000A9wEr
a266900000A9wEM,"Zhuhai Lituo Biotechnology Co., Ltd",COVID-19 Antigen Detection Kit (Colloidal Gold),China,CE-IVD,96.86%,94.70%,98.16%,99.47%,98.19%,99.85%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,15,a266900000A9wEM
a2669000009z9Zi,"Zhuhai Lituo Biotechnology Co., Ltd",COVID-19 Antigen Detection Kit(Colloidal Gold) For Saliva,China,-,-,-,-,-,-,-,Antigen,Unknown,Intended for professional use only,Saliva,NA,a2669000009z9Zi
a266900000A9wKG,Zybio  Inc.,SARS-CoV-2 Antigen Assay Kit (Colloidal Gold Method),China,CE-IVD,97.87%,94.64%,99.42%,99.62%,97.92%,99.99%,Antigen,N-protein,Intended for professional use only,Nasopharyngeal swab; Oropharyngeal swab; Nasal swab,30,a266900000A9wKG
