submission_id,manufacturer,submission_title,type_of_technology,self_testing_self_collection,assay_target,test_format,target_analyte,validated_sample_types,instrument_requirement,level_of_automation,laboratory_point_of_care,time_to_result,connectivity,sc2_alpha,sc2_beta,sc2_gamma,sc2_delta_plus,sc2_delta,sc2_omicron,regulatory_status,clinical_sensitivity,clinical_specificity,permalink,regex,country,region
a266900000B2vPT,Princeton BioMeditech Corp.,Status COVID-19/Flu,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,Manual,True Point of Care,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,Unknown,Unknown,Unknown,Health Canada,NA,NA,http://www.pbmc.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2kon,QIAGEN GmbH,QIAseq DIRECT SARS-CoV-2 Kit,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",All genes,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,NA,NA,NA,NA,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a266900000B2kq5,Roche Diagnostics GmbH,cobas SARS-CoV-2 Variant Set,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,NA,NA,NA,NA,switz|swiss,Switzerland,Europe
a266900000B2kxT,PathogenDx,DetectX-Cv+,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",S gene,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,NA,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,CE-IVD,NA,NA,https://pathogendx.com/,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2kwB,PathogenDx,DetectX-Cv,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",S gene,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,NA,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2m57,Twist Bioscience,SARS-COV-2 NGS ASSAY,Molecular,Intended for professional use only,RNA,"NAT reagent kit – proprietary platform",All genes,Nasopharyngeal swab; Oropharyngeal swab,A proprietary/new instrument is required,Automated (excluding sample preparation),Lab-based,NA,Unknown,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,US FDA EUA; CE-IVD,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2m5C,Vela Diagnostics,ViroKey SARS-CoV-2 ID RT-PCR Test,Molecular,Intended for professional use only,RNA,"NAT reagent kit – open source",S gene,Nasopharyngeal swab; Oropharyngeal swab,Standard lab instrumentation is required,Automated (excluding sample preparation),Lab-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2c2Z,"Hangzhou Realy Tech Co., ltd.",Novel Coronavirus (SARS-COV-2) Antigen Rapid test cassette (nasal swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2c6i,"Access Bio, Inc.",Atomo Covid-19 Antigen Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,15,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,NA,NA,NA,australia,Australia,Oceania
a266900000B2bdU,PCL inc,PCL Covid-19 Ag Rapid FIA,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,A proprietary/new instrument is required,Manual,near Point of Care,10,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; Health Canada; CE-IVD,100.00 %,97.78 %,https://haemokinesis.com/products/pcl-covid19-ag-rapid-fia/,australia,Australia,Oceania
a266900000B2bdZ,Artron Laboratories Inc.,Artron COVID-19 Antigen Test (Nasal),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Health Canada,91.30 %,99.56 %,http://www.artronlab.com/products/COVID19/COVID19%20Ag.html,canada,Canada,North America
a266900000B2eNN,TAUNS Laboratories Co.,ImunoAce SARS-CoV-2 II,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2eNX,TAUNS Laboratories Co.,Capilia SARS-CoV-2,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2e6W,"FUJIFILM Wako Pure Chemical Co., ltd.",Accuraseed SARS-CoV-2Ag,Immunoassay,Intended for professional use only,Antigen,Chemiluminescent Immunoassay (CLIA),N-protein,Unknown,A proprietary/new instrument is required,NA,Lab-based,NA,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Unknown,No expected impact (in silico analyses),Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2e3I,"KOHJIN BIO CO., ltd.",KBM LineCheck nCoV/Flu,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2e9G,FUJIREBIO Inc.,Lumipulse Presto SARS-CoV-2 Ag,Immunoassay,Intended for professional use only,Antigen,Chemiluminescent Immunoassay (CLIA),N-protein,Nasopharyngeal swab; Saliva,A proprietary/new instrument is required,NA,True Point of Care,40,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW; CE-IVD,NA,NA,NA,japan,Japan,Asia
a266900000B2cYY,Nichirei Biosciences Inc.,Immunofine SARS-COV-2,Immunoassay,Intended for professional use only,Antigen,Unspecified,N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2cYd,Tosoh Corp,CL AIA-PACK SARS-CoV-2-Ag,Immunoassay,Intended for professional use only,Antigen,Chemiluminescent Immunoassay (CLIA),N-protein,Unknown,A proprietary/new instrument is required,NA,Lab-based,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2ln5,"Assure Tech. (Hangzhou) Co., ltd.",Ecotest COVID-19 Antigen Saliva Test kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),Unknown,Saliva,No instrumentation is required,Manual,True Point of Care,NA,No,No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),No impact (analytical/clinical studies conducted),Unknown,No impact (analytical/clinical studies conducted),Unknown,Australia TGA; CE-IVD,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2ln6,Innovation Scientific Pty ltd.,InnoScreen COVID-19 Antigen Rapid Test Device,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,NA,NA,https://www.innovationsci.com.au/,australia,Australia,Oceania
a266900000B2ln7,"Hangzhou Realy Tech Co., ltd.",Novel Coronavirus (SARS-COV-2) Antigen Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab,No instrumentation is required,NA,True Point of Care,20,NA,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; CE-IVD,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2ln8,"Hangzhou AllTest Biotech Co.,ltd.",All Test COVID-19 Antigen Rapid Test (Oral fluid) self testing,Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2lnA,SD Biosensor INC,SARS-CoV-2 Rapid Antigen Test Nasal (STANDARD Q - COVID-19 At-Home Test),Immunoassay,Intended for self-testing (version available),Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),US FDA EUA; CE-IVD,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2lnB,SD Biosensor INC,SARS-CoV-2 Rapid Antigen Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,20,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; Health Canada,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2lnD,TAUNS Laboratories Co.,Capilia SARS-CoV-2 II,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2lnE,"Hangzhou AllTest Biotech Co.,ltd.",All Test COVID-19 Antigen Rapid Test (Swab),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab; Saliva,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,NA,NA,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2lnF,SD Biosensor INC,SARS-CoV-2 Rapid Antigen Test Nasal,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,Manual,True Point of Care,15,No,No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),No expected impact (in silico analyses),Australia TGA; Health Canada; CE-IVD,NA,NA,NA,^(?!.*d.*p.*r)(?!.*democrat)(?!.*dem.*rep)(?!.*people)(?!.*north).*\bkorea(?!.*d.*p.*r)(?!.*dem.*rep),South Korea,Asia
a266900000B2ln9,Jiangsu Medomics Medical Technology,SARS-CoV-2 Antigen Test Kit (LFIA),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,A proprietary/new instrument is required,Manual,True Point of Care,20,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,NA,NA,NA,united.?states\b(?!.*islands)|\bu\.?s\.?a\.?\b|^\s*u\.?s\.?\b(?!.*islands),United States,North America
a266900000B2bwg,"Hangzhou AllTest Biotech Co.,ltd.",All Test COVID-19 Antigen Rapid Test (Oral fluid),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Saliva,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,97.00 %,99.30 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2bti,"Hangzhou Testsea Biotechnology Co.,ltd.",Testsea SARS-CoV-2 Antigen Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA,97.60 %,98.40 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2bt8,"Mizuho Medy Co., ltd.",Quick Chaser SARS-CoV-2/Flu,Immunoassay,Intended for professional use only,Antigen,Unspecified,N-protein,Unknown,A proprietary/new instrument is required,NA,near Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,46.80 %,100.00 %,NA,japan,Japan,Asia
a266900000B2baH,Sysmex Corporation,HISCL SARS-CoV-2 Ag Assay Kit,Immunoassay,Intended for professional use only,Antigen,Reagent Kit,Unknown,Nasopharyngeal swab; Nasal swab,A proprietary/new instrument is required,NA,Lab-based,17,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,https://www.sysmex-europe.com/products/products-detail/hiscl-sars-cov-2-ag-assay-kit.html,^(?!.*east).*germany|^(?=.*\bfed.*\brep).*german,Germany,Europe
a266900000B2bwW,Hangzhou Laihe Biotech,LYHER Novel Coronavirus (Covid-19) Antigen Test Kit (Colloidal Gold),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,95.00 %,99.60 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2bde,FUJIREBIO Inc.,Lumipulse SARS-CoV-2 Ag,Immunoassay,Intended for professional use only,Antigen,Cartridge-based processing,N-protein,Nasopharyngeal swab; Saliva,A proprietary/new instrument is required,NA,Lab-based,35,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW; CE-IVD,NA,NA,"https://www.fujirebio.com/en/products-solutions/lumipulse-g-sars-cov2-ag#:~:text=Lumipulse%20G%20SARS%2DCoV%2D2%20Ag%20is%20an%20assay%20system,on%20the%20LUMIPULSE%20G%20System.",japan,Japan,Asia
a266900000B2bwl,"Assure Tech. (Hangzhou) Co., ltd.",Ecotest COVID-19 Antigen Nasal Test Kit,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,96.10 %,99.80 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2btj,"Hangzhou AllTest Biotech Co.,ltd.",GSD NovaGen SARS CoV-2 Rapid Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasal swab,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Australia TGA; CE-IVD,94.10 %,99.30 %,NA,^(?!.*\bmac)(?!.*\bhong)(?!.*\btai)(?!.*\brep).*china|^(?=.*peo)(?=.*rep).*china,China,Asia
a266900000B2cWO,"SEKISUI MEDICAL CO., ltd.",RapidTesta SARS-CoV-2,Immunoassay,Intended for professional use only,Antigen,Unspecified,N-protein,Nasopharyngeal swab,A proprietary/new instrument is required,NA,near Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2cGU,Toyobo,ImmunoArrow SARS-CoV-2,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Unknown,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2cXB,MALCOM COMPANY LIMITED,Standard Q COVID-19 Test,Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,NA,True Point of Care,20,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,NA,NA,NA,japan,Japan,Asia
a266900000B2cB0,"KOHJIN BIO CO., ltd.",KBM LineCheck nCoV (Stick Type),Immunoassay,Intended for professional use only,Antigen,Rapid diagnostic test (strip or cassette),N-protein,Nasopharyngeal swab; Nasal swab,No instrumentation is required,NA,True Point of Care,NA,NA,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Japan MHLW,78.60 %,100.00 %,NA,japan,Japan,Asia
